Subject,Start Date,All Day Event,Description
"Day 76: Judges 19-21",03/16/2016,true,"READ: Judges 19-21 PRAY: Psalms 76 http://bible.sograce.org/#/76/1"
"Day 77: Ruth",03/17/2016,true,"READ: Ruth PRAY: Psalms 77 http://bible.sograce.org/#/77/1"
"Day 78: 1 samuel 1-3",03/18/2016,true,"READ: 1 samuel 1-3 PRAY: Psalms 78 http://bible.sograce.org/#/78/1"
"Day 79: 1 samuel 4-8",03/19/2016,true,"READ: 1 samuel 4-8 PRAY: Psalms 79 http://bible.sograce.org/#/79/1"
"Day 80: 1 samuel 9-12",03/20/2016,true,"READ: 1 samuel 9-12 PRAY: Psalms 80 http://bible.sograce.org/#/80/1"
"Day 81: 1 samuel 13-14",03/21/2016,true,"READ: 1 samuel 13-14 PRAY: Psalms 81 http://bible.sograce.org/#/81/1"
"Day 82: 1 samuel 15-17",03/22/2016,true,"READ: 1 samuel 15-17 PRAY: Psalms 82 http://bible.sograce.org/#/82/1"
"Day 83: 1 samuel 18-20",03/23/2016,true,"READ: 1 samuel 18-20 PRAY: Psalms 83 http://bible.sograce.org/#/83/1"
"Day 84: 1 samuel 21-24",03/24/2016,true,"READ: 1 samuel 21-24 PRAY: Psalms 84 http://bible.sograce.org/#/84/1"
"Day 85: 1 samuel 25-27",03/25/2016,true,"READ: 1 samuel 25-27 PRAY: Psalms 85 http://bible.sograce.org/#/85/1"
"Day 86: 1 samuel 28-31",03/26/2016,true,"READ: 1 samuel 28-31 PRAY: Psalms 86 http://bible.sograce.org/#/86/1"
"Day 87: 2 samuel 1-3",03/27/2016,true,"READ: 2 samuel 1-3 PRAY: Psalms 87 http://bible.sograce.org/#/87/1"
"Day 8: 2 samuel 4-8",03/28/2016,true,"READ: 2 samuel 4-8 PRAY: Psalms 88 http://bible.sograce.org/#/8/1"
"Day 89: 2 samuel 9-12",03/29/2016,true,"READ: 2 samuel 9-12 PRAY: Psalms 89 http://bible.sograce.org/#/89/1"
"Day 90: 2 samuel 13-15",03/30/2016,true,"READ: 2 samuel 13-15 PRAY: Psalms 90 http://bible.sograce.org/#/90/1"
"Day 91: 2 samuel 16-18",03/31/2016,true,"READ: 2 samuel 16-18 PRAY: Psalms 91 http://bible.sograce.org/#/91/1"
"Day 92: 2 samuel 19-21",04/01/2016,true,"READ: 2 samuel 19-21 PRAY: Psalms 92 http://bible.sograce.org/#/92/1"
"Day 93: 2 samuel 22-24",04/02/2016,true,"READ: 2 samuel 22-24 PRAY: Psalms 93 http://bible.sograce.org/#/93/1"
"Day 94: 1 kings 1-3",04/03/2016,true,"READ: 1 kings 1-3 PRAY: Psalms 94 http://bible.sograce.org/#/94/1"
"Day 95: 1 kings 4-7",04/04/2016,true,"READ: 1 kings 4-7 PRAY: Psalms 95 http://bible.sograce.org/#/95/1"
"Day 96: 1 kings 8-10",04/05/2016,true,"READ: 1 kings 8-10 PRAY: Psalms 96 http://bible.sograce.org/#/96/1"
"Day 97: 1 kings 11-13",04/06/2016,true,"READ: 1 kings 11-13 PRAY: Psalms 97 http://bible.sograce.org/#/97/1"
"Day 98: 1 kings 14-16",04/07/2016,true,"READ: 1 kings 14-16 PRAY: Psalms 98 http://bible.sograce.org/#/98/1"
"Day 99: 1 kings 17-19",04/08/2016,true,"READ: 1 kings 17-19 PRAY: Psalms 99 http://bible.sograce.org/#/99/1"
"Day 100: 1 kings 20-22",04/09/2016,true,"READ: 1 kings 20-22 PRAY: Psalms 100 http://bible.sograce.org/#/100/1"
"Day 101: 2 kings 1-3",04/10/2016,true,"READ: 2 kings 1-3 PRAY: Psalms 101 http://bible.sograce.org/#/101/1"
"Day 102: 2 kings 4-7",04/11/2016,true,"READ: 2 kings 4-7 PRAY: Psalms 102 http://bible.sograce.org/#/102/1"
"Day 103: 2 kings 8-11",04/12/2016,true,"READ: 2 kings 8-11 PRAY: Psalms 103 http://bible.sograce.org/#/103/1"
"Day 104: 2 kings 12-14",04/13/2016,true,"READ: 2 kings 12-14 PRAY: Psalms 104 http://bible.sograce.org/#/104/1"
"Day 105: 2 kings 15-17",04/14/2016,true,"READ: 2 kings 15-17 PRAY: Psalms 105 http://bible.sograce.org/#/105/1"
"Day 106: 2 kings 18-19",04/15/2016,true,"READ: 2 kings 18-19 PRAY: Psalms 106 http://bible.sograce.org/#/106/1"
"Day 107: 2 kings 20-22",04/16/2016,true,"READ: 2 kings 20-22 PRAY: Psalms 107 http://bible.sograce.org/#/107/1"
"Day 108: 2 kings 23-25",04/17/2016,true,"READ: 2 kings 23-25 PRAY: Psalms 108 http://bible.sograce.org/#/108/1"
